,Fighter Name,Nickname,Height,Weight,Reach,Stance,Win,Lose,Draw
2402,Gilbert Melendez,El Nino,"5' 9""",145 lbs.,"73.0""",Orthodox,22,8,0
2403,Nair Melikyan,Ahalkalakski,"5' 6""",155 lbs.,--,,11,0,0
2404,Marcelo Mello,,"5' 7""",170 lbs.,--,Southpaw,1,0,0
2405,Fabio Mello,,"5' 5""",155 lbs.,--,Southpaw,11,8,0
2406,Vanessa Melo,,"5' 5""",135 lbs.,"65.0""",Orthodox,11,8,0
2407,Antonio Mendes,Samurai,"6' 3""",205 lbs.,"77.0""",Southpaw,18,13,0
2408,Chad Mendes,Money,"5' 6""",145 lbs.,"66.0""",Orthodox,18,5,0
2409,Augusto Mendes,Tanquinho,"5' 6""",135 lbs.,"65.0""",Orthodox,6,2,0
2410,Eddie Mendez,,"5' 10""",185 lbs.,--,,8,3,1
2411,Mateus Mendonca,Bocao,"5' 6""",125 lbs.,"71.0""",Orthodox,10,3,0
2412,Luis Mendoza,,--,155 lbs.,--,,0,1,0
2413,Pietro Menga,,"5' 7""",125 lbs.,"68.0""",Southpaw,13,0,0
2414,Alonzo Menifield,Atomic,"6' 0""",205 lbs.,"76.0""",Orthodox,15,3,1
2415,Ivan Menjivar,The Pride of El Salvador,"5' 6""",145 lbs.,"64.0""",Orthodox,25,12,0
2416,Dave Menne,The Warrior,"5' 10""",170 lbs.,--,Orthodox,45,17,2
2417,Steve Mensing,The Machine,"5' 11""",185 lbs.,--,Orthodox,9,13,2
2418,Buck Meredith,,"6' 2""",185 lbs.,--,,3,3,0
2419,Adam Meredith,,"6' 2""",170 lbs.,--,,5,3,0
2420,Nick Meregali,,--,--,--,,0,0,0
2421,Joe Merritt,,"6' 0""",170 lbs.,--,Orthodox,7,2,0
2422,Jeremiah Metcalf,,"6' 1""",185 lbs.,--,Orthodox,13,7,0
2423,Jonathan Meunier,District,"6' 3""",170 lbs.,--,Switch,8,1,0
2424,Yaotzin Meza,,"5' 9""",145 lbs.,"71.0""",Orthodox,21,11,0
2425,Guy Mezger,,"6' 1""",200 lbs.,--,Orthodox,30,14,2
2426,Brandon Michaels,,"5' 9""",185 lbs.,--,,4,14,0
2427,Andreas Michailidis,The Spartan,"6' 0""",170 lbs.,"76.0""",Orthodox,13,6,0
2428,David Michaud,BullDawg,"5' 9""",155 lbs.,--,Orthodox,11,3,0
2429,Chris Mickle,,"5' 9""",145 lbs.,--,Orthodox,30,21,2
2430,Zachary Micklewright,,"6' 0""",155 lbs.,"74.0""",Southpaw,15,3,0
2431,Kristof Midoux,The Hurricane,"6' 1""",220 lbs.,--,Orthodox,6,10,0
2432,Keith Mielke,,"5' 8""",185 lbs.,--,,0,5,0
2433,Chris Mierzwiak,,"6' 1""",185 lbs.,--,,5,3,0
2434,Gabriel Miglioli,Biel,"5' 8""",170 lbs.,--,,9,9,0
2435,Bojan Mihajlovic,,"5' 11""",205 lbs.,"73.0""",Orthodox,10,6,0
2436,Billy Miles,The Kid,"5' 10""",170 lbs.,--,Orthodox,2,2,0
2437,Pat Miletich,The Croatian Sensation,"5' 10""",170 lbs.,--,Orthodox,29,7,2
2438,Curtis Millender,Curtious,"6' 2""",170 lbs.,"76.0""",Orthodox,17,5,0
2439,Phillip Miller,,"5' 11""",185 lbs.,--,Orthodox,16,0,0
2440,Jason Miller,Mayhem,"6' 1""",185 lbs.,--,Orthodox,23,10,0
2441,Dan Miller,,"6' 1""",185 lbs.,"74.0""",Orthodox,14,8,0
2442,Jim Miller,A-10,"5' 8""",155 lbs.,"71.0""",Southpaw,37,18,0
2443,Cole Miller,Magrinho,"6' 1""",145 lbs.,"73.0""",Orthodox,21,11,0
2444,Henry Miller,Sentoryu,"5' 7""",270 lbs.,--,Southpaw,6,16,0
2445,Micah Miller,Maverick,"6' 0""",145 lbs.,--,Orthodox,20,8,0
2446,Aaron Miller,Blood Spiller,"5' 9""",145 lbs.,--,,14,10,0
2447,Mo Miller,Moshow,"5' 8""",135 lbs.,"72.0""",Orthodox,6,0,0
2448,Juliana Miller,Killer,"5' 7""",125 lbs.,"66.0""",Orthodox,4,3,0
